"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info"""
"152,""41.805493149"",""192.168.68.114"",""192.168.68.104"",""TCP"",""74"",""8883  >  47373 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=985564970 TSecr=262603885 WS=128"""
"153,""41.808816417"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""47373  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=262603889 TSecr=985564970"""
"154,""41.815212589"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"155,""41.815300296"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  47373 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=985564980 TSecr=262603895"""
"156,""42.225600040"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""99"",""Application Data"""
"157,""42.226749566"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""97"",""Encrypted Alert"""
"158,""42.227074669"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  40643 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=2852183194 TSecr=1356660217"""
"159,""42.238034260"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""40643  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=1356662466 TSecr=2852183192"""
"160,""42.877792708"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  47373 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=985566042 TSecr=262603895 [TCP segment of a reassembled PDU]"""
"161,""42.877843854"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  47373 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=985566042 TSecr=262603895 [TCP segment of a reassembled PDU]"""
"162,""42.877849427"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"163,""42.888286988"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""47373  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=262604968 TSecr=985566042"""
"164,""42.890892290"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""47373  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=262604971 TSecr=985566042"""
"165,""42.890959530"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""47373  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=262604971 TSecr=985566042"""
"166,""42.932875245"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"167,""42.932981807"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  47373 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=985566098 TSecr=262605013"""
"168,""45.259321694"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"169,""45.266244791"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""47373  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=262607347 TSecr=985568424"""
"170,""45.268368636"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"171,""45.268425615"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  47373 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=985568433 TSecr=262607349"""
"172,""46.245955085"",""192.168.68.106"",""192.168.68.114"",""TCP"",""74"",""38463  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1356666473 TSecr=0 WS=128"""
"173,""46.246092533"",""192.168.68.114"",""192.168.68.106"",""TCP"",""74"",""8883  >  38463 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2852187213 TSecr=1356666473 WS=128"""
"174,""46.252444590"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""38463  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1356666481 TSecr=2852187213"""
"175,""46.258931491"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"176,""46.259025397"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  38463 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=2852187226 TSecr=1356666487"""
"177,""47.321010304"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  38463 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=2852188288 TSecr=1356666487 [TCP segment of a reassembled PDU]"""
"178,""47.321046814"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  38463 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=2852188288 TSecr=1356666487 [TCP segment of a reassembled PDU]"""
"179,""47.321050876"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"180,""47.325556431"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""38463  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=1356667553 TSecr=2852188288"""
"181,""47.327571423"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""38463  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=1356667556 TSecr=2852188288"""
"182,""47.327640225"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""38463  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=1356667556 TSecr=2852188288"""
"183,""47.370136667"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"184,""47.370192031"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  38463 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=2852188337 TSecr=1356667598"""
"185,""47.512854368"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""99"",""Application Data"""
"186,""47.514631288"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""97"",""Encrypted Alert"""
"187,""47.529157115"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""47373  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=262609610 TSecr=985570677"""
"188,""49.752699487"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"189,""49.757107907"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""38463  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=1356669985 TSecr=2852190719"""
"190,""49.758110923"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"191,""49.758162381"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  38463 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=2852190725 TSecr=1356669987"""
"192,""51.968978653"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""99"",""Application Data"""
"193,""51.970368074"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""97"",""Encrypted Alert"""
"194,""51.970804791"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  38463 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=2852192937 TSecr=1356669987"""
"195,""51.975525501"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""38463  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=1356672203 TSecr=2852192936"""
"196,""60.107149984"",""192.168.68.106"",""192.168.68.114"",""TCP"",""74"",""35453  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1356680215 TSecr=0 WS=128"""
"197,""60.107321181"",""192.168.68.114"",""192.168.68.106"",""TCP"",""74"",""8883  >  35453 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2852201074 TSecr=1356680215 WS=128"""
"198,""60.109630911"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""35453  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1356680338 TSecr=2852201074"""
"199,""60.117176401"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"200,""60.117311297"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  35453 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=2852201084 TSecr=1356680343"""
"201,""61.204896703"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  35453 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=2852202172 TSecr=1356680343 [TCP segment of a reassembled PDU]"""
"202,""61.204935974"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  35453 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=2852202172 TSecr=1356680343 [TCP segment of a reassembled PDU]"""
"203,""61.204940245"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"204,""61.210612670"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""35453  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=1356681437 TSecr=2852202172"""
"205,""61.211951675"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""35453  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=1356681440 TSecr=2852202172"""
"206,""61.212022508"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""35453  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=1356681440 TSecr=2852202172"""
"207,""61.249645740"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"208,""61.249700583"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  35453 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=2852202216 TSecr=1356681478"""
"209,""63.554293207"",""192.168.68.104"",""192.168.68.114"",""TCP"",""74"",""55865  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=262625629 TSecr=0 WS=128"""
"210,""63.554413207"",""192.168.68.114"",""192.168.68.104"",""TCP"",""74"",""8883  >  55865 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=985586719 TSecr=262625629 WS=128"""
"211,""63.558464700"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""55865  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=262625639 TSecr=985586719"""
"212,""63.565207537"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"213,""63.565307381"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  55865 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=985586730 TSecr=262625645"""
"214,""63.590830922"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"215,""63.692004051"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""35453  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=1356683920 TSecr=2852204557"""
"216,""63.693078526"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"217,""63.693119411"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  35453 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=2852204660 TSecr=1356683922"""
"218,""64.669338392"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  55865 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=985587834 TSecr=262625645 [TCP segment of a reassembled PDU]"""
"219,""64.669381101"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  55865 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=985587834 TSecr=262625645 [TCP segment of a reassembled PDU]"""
"220,""64.669385528"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"221,""64.684343904"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""55865  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=262626755 TSecr=985587834"""
"222,""64.684542132"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""55865  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=262626758 TSecr=985587834"""
"223,""64.684557549"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""55865  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=262626758 TSecr=985587834"""
"224,""64.719129074"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"225,""64.719198241"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  55865 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=985587884 TSecr=262626799"""
"226,""65.953369396"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""55865  >  8883 [FIN, ACK] Seq=1789 Ack=3246 Win=64128 Len=0 TSval=262628033 TSecr=985587884"""
"227,""65.988244982"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""99"",""Application Data"""
"228,""65.989312270"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""97"",""Encrypted Alert"""
"229,""65.989640550"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  35453 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=2852206956 TSecr=1356683922"""
"230,""65.994411780"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""35453  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=1356686222 TSecr=2852206955"""
"231,""66.000900920"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  55865 [ACK] Seq=3246 Ack=1790 Win=64128 Len=0 TSval=985589166 TSecr=262628033"""
"232,""67.120409886"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"233,""67.122604669"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  55865 [FIN, ACK] Seq=3297 Ack=1790 Win=64128 Len=0 TSval=985590287 TSecr=262628033"""
"234,""67.170894315"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""[TCP Retransmission] 8883  >  55865 [FIN, ACK] Seq=3297 Ack=1790 Win=64128 Len=0 TSval=985590336 TSecr=262628033"""
"235,""67.188608878"",""192.168.68.104"",""192.168.68.114"",""TCP"",""54"",""55865  >  8883 [RST] Seq=1790 Win=0 Len=0"""
"236,""67.188827731"",""192.168.68.104"",""192.168.68.114"",""TCP"",""54"",""55865  >  8883 [RST] Seq=1790 Win=0 Len=0"""
"237,""67.188846377"",""192.168.68.104"",""192.168.68.114"",""TCP"",""54"",""55865  >  8883 [RST] Seq=1790 Win=0 Len=0"""
"238,""69.741274166"",""192.168.68.104"",""192.168.68.114"",""TCP"",""74"",""45221  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=262631737 TSecr=0 WS=128"""
"239,""69.741452290"",""192.168.68.114"",""192.168.68.104"",""TCP"",""74"",""8883  >  45221 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=985592906 TSecr=262631737 WS=128"""
"240,""69.744554725"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""45221  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=262631825 TSecr=985592906"""
"241,""69.753043857"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"242,""69.753176305"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  45221 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=985592918 TSecr=262631833"""
"243,""70.872292714"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  45221 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=985594037 TSecr=262631833 [TCP segment of a reassembled PDU]"""
"244,""70.872346255"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  45221 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=985594037 TSecr=262631833 [TCP segment of a reassembled PDU]"""
"245,""70.872350578"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"246,""70.876481395"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""45221  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=262632956 TSecr=985594037"""
"247,""70.879023780"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""45221  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=262632959 TSecr=985594037"""
"248,""70.879091436"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""45221  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=262632959 TSecr=985594037"""
"249,""70.897526881"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"250,""70.897577715"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  45221 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=985594062 TSecr=262632978"""
"251,""73.148927662"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"252,""73.156847369"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"253,""73.156941431"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  45221 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=985596322 TSecr=262635237"""
"254,""75.374857342"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""99"",""Application Data"""
"255,""75.375926400"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""97"",""Encrypted Alert"""
"256,""75.376246242"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  45221 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=985598541 TSecr=262635237"""
"257,""75.384351938"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""45221  >  8883 [RST, ACK] Seq=1868 Ack=3361 Win=64128 Len=0 TSval=262637464 TSecr=985598539"""
"258,""75.386405784"",""192.168.68.104"",""192.168.68.114"",""TCP"",""54"",""45221  >  8883 [RST] Seq=1868 Win=0 Len=0"""
"259,""76.389793962"",""192.168.68.104"",""192.168.68.114"",""TCP"",""74"",""58149  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=262638468 TSecr=0 WS=128"""
"260,""76.389909690"",""192.168.68.114"",""192.168.68.104"",""TCP"",""74"",""8883  >  58149 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=985599555 TSecr=262638468 WS=128"""
"261,""76.397771116"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""58149  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=262638478 TSecr=985599555"""
"262,""76.404413745"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"263,""76.404504214"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  58149 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=985599569 TSecr=262638484"""
"264,""77.503433925"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  58149 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=985600668 TSecr=262638484 [TCP segment of a reassembled PDU]"""
"265,""77.503477831"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  58149 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=985600668 TSecr=262638484 [TCP segment of a reassembled PDU]"""
"266,""77.503482310"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"267,""77.509345463"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""58149  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=262639588 TSecr=985600668"""
"268,""77.509873690"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""58149  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=262639591 TSecr=985600668"""
"269,""77.510988269"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""58149  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=262639591 TSecr=985600668"""
"270,""77.552759660"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"271,""77.552814868"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  58149 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=985600717 TSecr=262639633"""
"272,""80.368599978"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"273,""80.372386421"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""58149  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=262642453 TSecr=985603533"""
"274,""80.374680317"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"275,""80.374755161"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  58149 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=985603539 TSecr=262642455"""
"276,""82.012665933"",""192.168.68.106"",""192.168.68.114"",""TCP"",""74"",""50801  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1356702240 TSecr=0 WS=128"""
"277,""82.012776974"",""192.168.68.114"",""192.168.68.106"",""TCP"",""74"",""8883  >  50801 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2852222979 TSecr=1356702240 WS=128"""
"278,""82.020420901"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""50801  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1356702249 TSecr=2852222979"""
"279,""82.025811504"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"280,""82.025900410"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  50801 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=2852222993 TSecr=1356702254"""
"281,""82.587880132"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""99"",""Application Data"""
"282,""82.589282470"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""97"",""Encrypted Alert"""
